indice,titulo,artista,tom,cifra
10,Primavera,Louvor IIR,C,"Tom: C
C
Vem, meu Amado
              F
Estou te esperando
C
Vem, meu Amado
              F
Estou te esperando
C                   F
Veja, o inverno acabou
C                         F
Veja, a tempestade já passou

C
Vem, meu Amado
              F
Estou te esperando
C
Vem, meu Amado
              F
Estou te esperando
C                   F
Veja, o inverno acabou
C                         F
Veja, a tempestade já passou
C                   F
Veja, o inverno acabou
C                         F
Veja, a tempestade já passou
C                   F
Veja, o inverno acabou
                  Am   F
Tempestade já passou

         C
E só ficou você

Só ficou você
         F
E só ficou você

Só ficou você
         Am
E só ficou você

Só ficou você
       F
Só ficou você

            C
Minha primavera
      F
Meu amor
      Am
Meu amanhecer
              F
Eu sei que você me quer

Eu sei que você me quer
            C
Minha primavera
      F
Meu amor
      Am
Meu amanhecer
              F
Eu sei que você me quer

Eu sei que você me quer

           C
Eu sou do meu amado e Ele me deseja
           F
Eu sou do meu amado e Ele me deseja
            Am
Eu sou do meu amado e Ele me deseja
            F
Eu sou do meu amado e Ele me deseja
           C
Eu sou do meu amado e Ele me deseja
           F
Eu sou do meu amado e Ele me deseja"
11,Que Se Abram os Céus,Nívea Soares,A,"Tom: A
[Primeira Parte]

 A
Tu és bem-vindo aqui
                F#m7
E em nosso coração
 D9         A  A7M(9)
Toma a direção

 A
Deus fogo consumidor
                  F#m7
Sem impedimentos vem
        D9       A  A7M(9)
Face a face, Senhor

[Ponte]

 D    E   F#m7
Sopra em nós
   D  E  F#m7
Espí_ri_to
 D   E  F#m7   E
Te que_remos, Deus

[Solo] F#m7  A  F#m7  E

[Segunda Parte]

          A
Estou de pé

Na presença do Rei
                   F#m7
Tua glória está aqui
      D9          A  A7M(9)
Teu amor liberta-me

         A
Estás aqui

No trono de louvor
                   F#m7
Tua presença me curou
      D9     A  E/G#
Fascinado estou

[Ponte]

 D  E     F#m7
Sopra em nós
   D  E  F#m7
Espí_ri_to
 D   E  F#m7   E
Te que_remos, Deus

 D  E     F#m7
Sopra em nós
   D  E  F#m7
Espí_ri_to
 D   E  F#m7   E
Te que_remos, Deus

 D  E     F#m7
Sopra em nós
   D  E  F#m7
Espí_ri_to
 D   E  F#m7   E
Te que_remos, Deus

[Solo] F#m7  A  F#m7  E
       F#m7  A  F#m7  E

[Refrão]

                 F#m7
Que se abram os céus
             D9
O teu reino vem
            F#m7
Nossa fé está
          E
No nosso Deus

                 F#m7
Que se abram os céus
             D9
O teu reino vem
            F#m7
Nossa fé está
          E
No nosso Deus

        F#m7
Que os céus fechados se abram
     D9
Teu reino venha mover
   A
A nossa fé e esperança
          E           
Estão em Deus Grande Deus

[Terceira Parte]

        F#m7
Que os céus fechados se abram
     D9
Teu reino venha mover
   A
A nossa fé e esperança
          E           
Estão em Deus Grande Deus

[Solo] F#m7  A  F#m7  E
       F#m7  A  F#m7  E
       F#m7  A  F#m7  E
       F#m7  A  F#m7  E  A

E|------------------------------------------|"
12,Até Que o Senhor Venha,Ministério Zoe,Am,"
Tom: C#m
[Primeira Parte]

C#m
    Oh, se você rasgar o céu

Apenas mais uma vez

( C#m  E )

C#m                         E
    Oh, se você descer e fizer
                        C#m  E
Teus grandes feitos de novo

          A2
Como nos tempos passados
             B4
Mostra teu braço forte
           C#m  E
Ó, grande rei!

         A2
Mostra a essa geração
         B4         C#m  E
Teus prodígios e sinais

[Segunda Parte]

              A2
Vem mais uma vez
            B4
E faz tudo novo
              C#m
Vem mais uma vez
         G#m7
E agita todo o meu ser

             A2
Faz a eternidade
                      B4
Se alinhar com o natural
      C#m
E da terra, nós, que somos pó
    G#m7              
Clamamos: aviva-nos!
  A2                      B4
Aviva-nos! Aviva-nos! Senhor

[Pré-Refrão]

 C#m
Fere o meu coração
           B4
Com uma ferida de fome por Ti
 A2
Fere o meu coração
           F#m7(11)
Com uma ferida de sede por Ti

   C#m
Ensina-me a clamar 
          B4                   A2   F#m7(11)
E a suplicar até que o Senhor venha

 C#m
Fere o meu coração
           B4
Com uma ferida de fome por Ti
 A2
Fere o meu coração
           F#m7(11)
Com uma ferida de sede por Ti
   C#m
Ensina-me a clamar
          B4                   A2   F#m7(11)
E a suplicar até que o Senhor venha

[Refrão]

                  A2
Até que o Senhor venha
           B4
Eu vou clamar
                  C#m
Até que o Senhor venha
                  G#m7
Eu não vou descansar
                  A2
Até que o Senhor venha
                       B4
Eu vou gastar a minha vida
                 C#m
Diante do teu altar, Deus
                 G#m7
Diante do teu altar

                  A2
Até que o Senhor venha
           B4
Eu vou clamar
                  C#m
Até que o Senhor venha
                  G#m7
Eu não vou descansar
                  A2
Até que o Senhor venha
                       B4
Eu vou gastar a minha vida
                 C#m
Diante do teu altar, Deus
                 G#m7
Diante do teu altar

[Solo] C#m  B4  A2  F#m7(11)

[Pré-Refrão]

 C#m
Fere o meu coração
           B4
Com uma ferida de fome por Ti
 A2
Fere o meu coração
           F#m7(11)
Com uma ferida de sede por Ti
   C#m
Ensina-me a clamar
          B4                   A2   F#m7(11)
E a suplicar até que o Senhor venha

[Refrão]

                  A2
Até que o Senhor venha
           B4
Eu vou clamar
                  C#m
Até que o Senhor venha
                  G#m7
Eu não vou descansar
                  A2
Até que o Senhor venha
                       B4
Eu vou gastar a minha vida
                 C#m
Diante do teu altar, Deus
                 G#m7
Diante do teu altar

                  A2
Até que o Senhor venha
           B4
Eu vou clamar
                  C#m
Até que o Senhor venha
                  G#m7
Eu não vou descansar
                  A2
Até que o Senhor venha
                       B4
Eu vou gastar a minha vida
                 C#m
Diante do teu altar, Deus
                 G#m7
Diante do teu altar

[Final] A2  B4  C#m  G#m7
        A2  B4  C#m  G#m7  A2"
13,Yeshua My Beloved,Jesus Image Worship,F,"Tom: F
[Intro] Bb  F  C  Dm
        Bb  F  C  Dm

      Dm               Bb
My beloved is the most beautiful
 C9     F             C
Among thousands and thousands
     Dm               Bb
My beloved is the most beautiful
      F            C
Among thousands and thousands
     Dm               Bb
My beloved is the most beautiful
      F            C
Among thousands and thousands

Bb                        C  Dm          Am
Yeshu hu oo oo ah, ha aa aa aa, ah aa aa aa
Bb                        C  Dm          Am
Yeshu hu oo oo ah, ha aa aa aa, ah aa aa aa 

    Bb
For yours is the kingdom
               C
Yours is the power
Dm                 Am
Yours in the glory forever Amen 

Bb                        C  Dm          Am
Yeshu hu oo oo ah, ha aa aa aa, ah aa aa aa
Bb                        C  Dm          Am
Yeshu hu oo oo ah, ha aa aa aa, ah aa aa aa

    Bb
For yours is the kingdom
               C
Yours is the power
Dm                Am
Yours in the glory forever Amen

Bb                        C  Dm          Am
Yeshu hu oo oo ah, ha aa aa aa, ah aa aa aa
Bb                        C  Dm          Am
Yeshu hu oo oo ah, ha aa aa aa, ah aa aa aa

   Yeshu hu oo oo ah, ha aa aa aa, ah aa aa aa"
14,Ruja o Leão / Povo Se Preparem (Fhop),Thalita Catanzaro / FHOP,F#m,"Tom: F#m
[Intro] F#m  E  D  Bm7

[Primeira Parte]

 F#m           E
Sobre o trono de justiça
  Bm7               F#m
Eternamente, haverá um Rei
                  E  
Ele voltará para governar
      Bm7      F#m  
As nações em amor

[Refrão]

     E       F#m    
Que ruja o leão
                    E4  E 
E que a terra estreme__ça
           D    Bm7       F#m  
Diante da majestade de Jesus

Que ruja o leão
                    E4  E 
E que a terra estreme__ça
           D    Bm7       F#m  Riff
Diante da majestade de Jesus

( E  D  Bm7 )

[Primeira Parte]

 F#5
Sobre o trono de justiça

Eternamente, haverá um Rei

Ele voltará para governar

As nações em amor

[Refrão]

     E       F#m    
Que ruja o leão
                    E4  E 
E que a terra estreme__ça
           D    Bm7       F#m  
Diante da majestade de Jesus

     E       F#m    
Que ruja o leão
                    E4  E 
E que a terra estreme__ça
           D    Bm7       F#m  
Diante da majestade de Jesus

     E       F#m    
Que ruja o leão
                    E4  E 
E que a terra estreme__ça
           D    Bm7       F#m  
Diante da majestade de Jesus

     E       F#m    
Que ruja o leão
                    E4  E 
E que a terra estreme__ça
           D    Bm7       F#m  
Diante da majestade de Jesus

[Solo] F#m  E  D  Bm7 
       F#m  E  D  Bm7 

[Ponte]

   F#m           
O descendente de Davi
   E
O homem mais notável
    D         Bm7
Ele ama a justiça
  F#m            E
Odeia iniquidade

   F#m            
O descendente de Davi
   E
O homem mais notável
    D         Bm7
Ele ama a justiça
  F#m            E
Odeia iniquidade

   F#m            
O descendente de Davi
   E
O homem mais notável
    D         Bm7
Ele ama a justiça
  F#m 
Odeia iniquidade

O descendente de Davi
   E
O homem mais notável
    D         Bm7
Ele ama a justiça
  F#m            
Odeia iniquidade

[Refrão]

     E       F#m    
Que ruja o leão
                    E4  E 
E que a terra estreme__ça
           D    Bm7       F#m  
Diante da majestade de Jesus

     E       F#m    
Que ruja o leão
                    E4  E 
E que a terra estreme__ça
           D    Bm7       F#m  
Diante da majestade de Jesus

[Final] F#m  E  D  Bm7 
        F#m  E  D  Bm7 

E|------------------------------------------|"
15,Teu Reino,Ministério Cristo Vivo,E,"Tom: E
[Intro] A  A/C#  B7
        A  A/C#  B7

[Primeira Parte]

               E9  E
Os reinos se abalam
             E9   E
Os povos se curvam
            E9   E
As bocas se abrem
              E9   E
As mãos se levantam
                       A7M  A6
Pra dizer que tu és o rei
F#m9        F#m             E    E9  E
     Pra dizer que tu és o Senhor

( E9  E )

               E9  E
Os reinos se abalam
             E9   E
Os povos se curvam
            E9   E
As bocas se abrem
              E9   E
As mãos se levantam
                       A7M  A6
Pra dizer que tu és o rei
F#m9        F#m             E    E9  E
     Pra dizer que tu és o Senhor

[Refrão]

                     A9 (Riff)
Teu Reino é sempre eterno
                  F#m
Firmado em misericórdia
                E
Justiça e igualdade
                 E7M
Bondade e fidelidade
                  A9  F#m (Riff)
A tua igreja te adora
                E  E7M  E
Tua igreja te adora

                     A9 (Riff)
Teu Reino é sempre eterno
                  F#m
Firmado em misericórdia
                E
Justiça e igualdade
                 E7M
Bondade e fidelidade
                  A9  F#m (Riff)
A tua igreja te adora
                E
Tua igreja te adora

[Primeira Parte]

               E
Os reinos se abalam

Os povos se curvam

As bocas se abrem

As mãos se levantam
                       A9
Pra dizer que tu és o rei
F#m                        E
    Pra dizer que tu és o Senhor

               E
Os reinos se abalam

Os povos se curvam

As bocas se abrem

As mãos se levantam
                       A9
Pra dizer que tu és o rei
F#m                        E
    Pra dizer que tu és o Senhor

                       A9
Pra dizer que tu és o rei
F#m                        E
    Pra dizer que tu és o Senhor

                       A9
Pra dizer que tu és o rei
F#m                        E
    Pra dizer que tu és o Senhor

[Refrão]

                     A9 (Riff)
Teu Reino é sempre eterno
                  F#m
Firmado em misericórdia
                E
Justiça e igualdade
                 E7M
Bondade e fidelidade
                  A9  F#m (Riff)
A tua igreja te adora
                E  E7M  E
Tua igreja te adora

                     A9 (Riff)
Teu Reino é sempre eterno
                  F#m
Firmado em misericórdia
                E
Justiça e igualdade
                 E7M
Bondade e fidelidade
                  A9  F#m (Riff)
A tua igreja te adora
                E  E7M
Tua igreja te adora

[Solo] A9/C#  F#m  E 
       A9/C#  F#m  E
       A9/C#  F#m  E
       A9/C#  F#m  E

[Refrão]

                     A9
Teu Reino é sempre eterno
                  F#m
Firmado em misericórdia
                E
Justiça e igualdade

Bondade e fidelidade
                  A9  F#m
A tua igreja te adora
                E
Tua igreja te adora

                     A9 
Teu Reino é sempre eterno
                  F#m
Firmado em misericórdia
                E
Justiça e igualdade

Bondade e fidelidade
                  A9  F#m
A tua igreja te adora
                E
Tua igreja te adora"
16,Santo Espírito,Laura Souguellis,E,"Tom: E
[Refrão]

 E9
Santo Espírito, és bem-vindo aqui
    A5(7M)             F#m7
Vem inundar, encher esse lugar
  E9
É o desejo do meu coração
       A5(7M)              F#m7
Sermos inundados por Tua glória, Senhor

 E9
Santo Espírito, és bem-vindo aqui
    A5(7M)             F#m7
Vem inundar, encher esse lugar
  E9
É o desejo do meu coração
       A5(7M)              F#m7
Sermos inundados por Tua glória
    E9                 A5(7M)   
Senhor, Tua glória Senhor
           E9  A5(7M)   
Tua glória

[Primeira Parte]

E9
   Não há nada igual
                A5(7M)
Não há nada melhor
                              E9
A que se compara à esperança viva
           A5(7M)
Tua presença

E9
   Eu provei e vi
              A5(7M)
O mais doce amor

Que liberta o meu ser
              E9
E a vergonha desfaz
           A5(7M)   
Tua presença

[Refrão]

 E9
Santo Espírito, és bem-vindo aqui
    A5(7M)             F#m7
Vem inundar, encher esse lugar
  E9
É o desejo do meu coração
       A5(7M)              F#m7
Sermos inundados por Tua glória

 E9
Santo Espírito, és bem-vindo aqui
    A5(7M)             F#m7
Vem inundar, encher esse lugar
  E9
É o desejo do meu coração
       A5(7M)              F#m7
Sermos inundados por Tua glória, Senhor

[Solo] E9  A5(7M)  F#m7
       E9  A5(7M)  F#m7

[Segunda Parte]

A5(7M)           E/G#
       Vamos provar
       F#m7         E/G#
Quão real é Tua presença
A5(7M)           E/G#
       Vamos provar 
        F#m7       E/G#
A Tua glória e bondade
A5(7M)           E/G#
       Vamos provar
       F#m7         E/G#
Quão real é Tua presença
A5(7M)           E/G#
       Vamos provar 
        F#m7       E/G#
A Tua glória e bondade

A5(7M)           E/G#
       Vamos provar
       F#m7         E/G#
Quão real é Tua presença
A5(7M)           E/G#
       Vamos provar 
        F#m7       E/G#
A Tua glória e bondade
A5(7M)           E/G#
       Vamos provar
       F#m7         E/G#
Quão real é Tua presença
A5(7M)           E/G#
       Vamos provar 
        F#m7       E/G#     A5(7M)   
A Tua glória e bondade, Senhor

[Refrão]

 E9
Santo Espírito, és bem-vindo aqui
    A5(7M)             F#m7
Vem inundar, encher esse lugar
  E9
É o desejo do meu coração
       A5(7M)              F#m7
Sermos inundados por Tua glória

 E9
Santo Espírito, és bem-vindo aqui
    A5(7M)             F#m7
Vem inundar, encher esse lugar
  E9
É o desejo do meu coração
       A5(7M)              F#m7      E9
Sermos inundados por Tua glória, Senhor"
17,Fogo Que Consome,Carol Braga,E,"Tom: E
[Intro] A  B  C#m7  E/G#

   A              B
Espírito de Deus, sopra sobre nós
   A              B
Espírito de Deus, sopra sobre nós
C#m7
Toca nossos lábios
   G#m7
Perdoa os pecados
   A              B
Espírito de Deus, sopra sobre nós

 A
Aviva-nos
 B
Aviva-nos
 C#m7           G#m7
Aviva-nos, senhor

A                   B
Vem, Espírito Santo
C#m7    G#m
Vem, aviva tua igreja
A       B
Vem, Espírito Santo
C#m7   G#m
Vem, aviva tua noiva

A
A palha seca queimará
B
Tire as cinzas do altar
C#m7
Fogo que consome
G#m7
Santo é o teu nome

A
A palha seca queimará
B
Tire as cinzas do altar
C#m7
Fogo que consome
G#m7
Santo é o teu nome

( A  B  C#m7  G#m7 )
( A  B  C#m7  G#m7 )

 A
Aviva-nos
 B
Aviva-nos
 A           B
Aviva-nos, senhor

 A
Aviva-nos
 B
Aviva-nos
 C#m7           B
Aviva-nos, senhor

A       B
Vem, Espírito Santo
C#m7    G#m
Vem, aviva tua igreja
A       B
Vem, Espírito Santo
C#m7   G#m
Vem, aviva tua noiva

A
A palha seca queimará
B
Tire as cinzas do altar
C#m7
Fogo que consome
G#m7
Santo é o teu nome

A
A palha seca queimará
B
Tire as cinzas do altar
C#m7
Fogo que consome
G#m7
Santo é o teu nome

A
A palha seca queimará
B
Tire as cinzas do altar
C#m7
Fogo que consome
G#m7
Santo é o teu nome

A
A palha seca queimará
B
Tire as cinzas do altar
C#m7
Fogo que consome
G#m7
Santo é o teu nome

( A  B  C#m7  G#m7 )
( A  B  C#m7  G#m7 )"
18,Ousado Amor,Emi Sousa,G,"Tom: G
[Intro] Gm  F  D#

Gm            F
Antes de eu falar
            D#
Tu cantavas sobre mim
Gm            F          D#
Tu tens sido tão, tão bom pra mim
Gm             F
Antes de eu respirar
             D#
Sopraste Tua vida em mim
Gm            F          D#
Tu tens sido tão, tão bom pra mim

       Gm           F           D#          A#
Oh, impressionante, infinito, e ousado amor de Deus
    Gm        F
Oh,que Deixa as noventa e nove
D#            A#
Só pra me encontrar
                 Gm
Não posso comprá-lo
        F
Nem merecê-lo
        D#          A#
Mesmo assim se entregou
       Gm           F           D#          A#
Oh, impressionante, infinito,e ousado amor de Deus
Yeahhh

( Gm  F  D# A# )

Gm        F
Inimigo eu fui
               D#
Mas teu amor lutou por mim
Gm            F        D#
Tu tens sido tão,tão bom pra mim
Gm         F
Não tinha valor
            D#
Mas tudo pagou por mim
Gm            F        D#
Tu tens sido tão,tão bom pra mim

       Gm           F           D#          A#
Oh, impressionante, infinito, e ousado amor de Deus
    Gm        F
Oh,que Deixa as noventa e nove
D#            A#
Só pra me encontrar
                 Gm
Não posso comprá-lo
        F
Nem merecê-lo
        D#          A#
Mesmo assim se entregou
       Gm           F           D#          A#
Oh, impressionante, infinito,e ousado amor de Deus

( Gm  F  D# A# )

Gm               F
Traz luz para as sombras
         D#
Escala montanhas
            A#
Pra me encontrar
Gm       F
Derruba muralhas
              D#
Destrói as mentiras
            A#
Pra me encontrar"
19,Só Quero Ver Você,Laura Souguellis,C,"Tom: C
[Intro] C  Dm  Am  F
        C  Dm  Am  F

[Primeira Parte]

C                Dm
  Sim, quero sentir
Am                    F
   Suas afeições por mim
C                      Dm      Am
  Não preciso me esconder, oh não
        F           C  Dm  Am
Não preciso mais temer
        F           C  Dm  Am  F
Não preciso mais temer

C                 Dm
  O véu já se rasgou
Am                     F
   O caminho você trilhou
C                Dm     Am
  Para me aproximar de Ti
     F             C  Dm  Am
E poder te contemplar
     F             C  Dm  Am  F
E poder te contemplar

[Primeira Parte]

C                Dm
  Sim, quero sentir
Am                    F
   Suas afeições por mim
C                      Dm      Am
  Não preciso me esconder, oh não
        F           C  Dm  Am
Não preciso mais temer
        F           C  Dm  Am  F
Não preciso mais temer

C                 Dm
  O véu já se rasgou
Am                     F
   O caminho você trilhou
C                Dm     Am
  Para me aproximar de Ti
     F             C  Dm  Am
E poder te contemplar
     F             C  Dm  Am 
E poder te contemplar
     F             C  Dm  Am
E poder te contemplar
     F             C  Dm  Am 
E poder te contemplar

[Pré-Refrão]

  F
Quando eu te vejo
              [Riff] C
Eu percebo algo diferente em mim
  F
Quando eu te contemplo

Eu me torno cada vez 
[Riff] C
Mais  semelhante a ti

  F
Quando eu te vejo
              [Riff] C
Eu percebo algo diferente em mim
  F
Quando eu te contemplo

Eu me torno cada vez 
[Riff] C
Mais  semelhante a ti
   G
Jesus

[Refrão]

Am                           F
   Só quero, só quero ver você
                          C
Só quero, só quero ver você
                          G
Só quero, só quero ver você

Am                           F
   Só quero, só quero ver você
                          C
Só quero, só quero ver você
                          G
Só quero, só quero ver você

Am                           F
   Só quero, só quero ver você
                          C
Só quero, só quero ver você
                          G
Só quero, só quero ver você

Am                           F
   Só quero, só quero ver você
                          C
Só quero, só quero ver você
                          G
Só quero, só quero ver você

( Am  F  C  G )
( Am  F  C  G )

[Pós-Refrão]

      Am
O que é que os anjos vêem
        F
Que os fazem se prostrar
      C
O que é que os anjos vêem
                      G
Que os fazem cantar: Santo

      Am
O que é que os anjos vêem
        F
Que os fazem se prostrar
      C
O que é que os anjos vêem
                      G
Que os fazem cantar: Santo

      Am
O que é que os anjos vêem
        F
Que os fazem se prostrar
      C
O que é que os anjos vêem
                      G
Que os fazem cantar: Santo

      Am
O que é que os anjos vêem
        F
Que os fazem se prostrar
      C
O que é que os anjos vêem
                      G
Que os fazem cantar: Santo

( Am  F  C  G )
( Am  F  C  G )
( Am  F  C  G )
( Am  F  C  G )

[Ponte]

  Am
Quero olhar a face do meu criador
  F               
Quero olhar a face 
                          C  G
Daquele que primeiro me amou

  Am
Quero olhar a face do meu criador
  F               
Quero olhar a face 
                          C  G
Daquele que primeiro me amou

  Am
Quero olhar a face do meu criador
  F               
Quero olhar a face 
                          C  G
Daquele que primeiro me amou

  Am
Quero olhar a face do meu criador
  F               
Quero olhar a face 
                          C  G
Daquele que primeiro me amou

[Refrão]

Am                           F
   Só quero, só quero ver você
                          C
Só quero, só quero ver você
                          G
Só quero, só quero ver você

Am                           F
   Só quero, só quero ver você
                          C
Só quero, só quero ver você
                          G 
Só quero, só quero ver você

Am                           F
   Só quero, só quero ver você
                          C
Só quero, só quero ver você
                          G
Só quero, só quero ver você

Am                           F
   Só quero, só quero ver você
                          C
Só quero, só quero ver você
                          G 
Só quero, só quero ver você
"
20,Yeshua,José Jr.,D,"Tom: D
[Primeira Parte]

    G                        D 
A primavera você trouxe à mim
                     Bm              A 
Das minhas feridas flores fez nascer
                   G
E em meu peito um selo
                D   
Eu sou do meu amado
                   Bm         A 
E os seus desejos são por mim

[Segunda Parte]

                G             D
Dos vales posso avistar, as colinas
              Bm     
E delas posso escutar 
         A              G
Os seus passos se aproximando
                D  
Eu sou do meu amado 
                   Bm
E os seus desejos são por mim
         A 
São por mim

[Pré-Refrão]

       G       
E eu elevo os meus olhos 
       D 
Para além dos montes
    Bm                     A 
Eu sei, de lá vem o meu socorro 
                  G                
E Ele vem, E Ele vem saltando 
       D                    Bm
E ele vem saltando sobre os montes
          A
Sobre os montes

       G       
E eu elevo os meus olhos 
       D 
Para além dos montes
    Bm                     A 
Eu sei, de lá vem o meu socorro 
                  G               
E Ele vem, E Ele vem saltando 
       D                    Bm
E ele vem saltando sobre os montes
          A
Sobre os montes

       G       
E eu elevo os meus olhos 
       D 
Para além dos montes
    Bm                     A 
Eu sei, de lá vem o meu socorro 
                  G               
E Ele vem, E Ele vem saltando 
       D                    Bm
E ele vem saltando sobre os montes
          A
Sobre os montes

[Refrão]

     G  D 
Yeshua
     Bm  A 
Yeshua
     G  D 
Yeshua
     Bm  A 
Yeshua

[Pré-Refrão]

       G       
E eu elevo os meus olhos 
       D 
Para além dos montes
    Bm                     A 
Eu sei, de lá vem o meu socorro 
                  G                
E Ele vem, E Ele vem saltando 
       D                    Bm
E ele vem saltando sobre os montes
          A
Sobre os montes

       G       
E eu elevo os meus olhos 
       D 
Para além dos montes
    Bm                    A 
Eu sei, de lá vem o meu socorro 
                  G              
E Ele vem, E Ele vem saltando 
       D                    Bm
E ele vem saltando sobre os montes
          A
Sobre os montes

[Refrão]

     G  D 
Yeshua
     Bm  A 
Yeshua
     G  D 
Yeshua
     Bm  A 
Yeshua

[Ponte]

 G                  D 
Digo oh minha alma, cante ao seu Amado
   Bm
O tempo de cantar chegou
  A 
O tempo de cantar chegou

 G                  D 
Digo oh minha alma, cante ao seu Amado
   Bm
O tempo de cantar chegou
  A 
O tempo de cantar chegou

 G                  D 
Digo oh minha alma, cante ao seu Amado
   Bm
O tempo de cantar chegou
  A 
O tempo de cantar chegou

 G                  D 
Digo oh minha alma, cante ao seu Amado
   Bm
O tempo de cantar chegou
  A 
O tempo de cantar chegou

[Refrão]

     G  D 
Yeshua
     Bm  A 
Yeshua 
     G  D 
Yeshua
     Bm  A 
Yeshua

[Ponte]

 G                  D 
Digo oh minha alma, cante ao seu Amado
   Bm
O tempo de cantar chegou
   A 
O tempo de cantar chegou

 G                  D 
Digo oh minha alma, cante ao seu Amado
   Bm
O tempo de cantar chegou
   A 
O tempo de cantar chegou

[Final]

E eu elevo os meus olhos 
Para além dos montes
Eu sei, de lá vem o meu socorro 
E Ele vem, E Ele vem saltando 
E ele vem saltando sobre os montes       
Sobre os montes

E eu elevo os meus olhos 
Para além dos montes
Eu sei, de lá vem o meu socorro 
E Ele vem, E Ele vem saltando 
E ele vem saltando sobre os montes        
Sobre os montes"
